"Name","Characters","Entities","Fluent Templates","Ground Fluents","Action Templates","Ground Actions","Trigger Templates","Ground Triggers","Goal","Author Temporal Limit","Character Temporal Limit","Epistemic Limit","Times Solved","Unique Planners Solved","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"space_any",2,11,9,23,10,29,10,58,1.0,9,3,1,20,2,4,4,4.0,0.0,33,34,33.5,0.5,1,2,1.4,0.4898979485566357
"fantasy_any",4,11,9,61,8,76,12,130,1.0,9,3,2,20,2,4,4,4.0,0.0,90,91,90.5,0.5,1,4,2.7,1.004987562112089
"bribery",3,5,4,16,5,27,0,0,1.0,5,5,2,20,2,8,10,9.2,0.7483314773547883,139,177,161.2,12.34341929936758,0,3,0.95,0.6689544080129827
"treasure",2,6,2,4,4,5,0,0,1.0,4,4,3,20,2,25,50,37.5,12.5,88,137,112.5,24.5,0,1,0.8,0.4000000000000001
"space_four",2,11,9,23,10,29,10,58,4.0,9,3,1,20,2,113,162,140.9,21.630765127475264,1527,1758,1676.45,89.05025266668252,29,170,92.6,58.2146029789777
"space_two",2,11,9,23,10,29,10,58,2.0,9,3,1,20,2,17,602,309.65,292.3501795792162,213,5733,2973.15,2759.850019022773,-31,499,197.95,220.15051101462382
"space_three",2,11,9,23,10,29,10,58,3.0,9,3,1,20,2,17,602,309.65,292.3501795792162,213,5733,2973.15,2759.850019022773,6,711,267.55,304.2777472967749
"secretagent",2,12,4,12,4,44,6,68,1.0,8,8,1,20,2,142,665,403.5,259.11204140294217,238,745,487.1,244.5994480778728,4,12,8.1,2.5278449319529077
"raiders",3,9,5,21,5,39,4,66,1.0,7,4,1,20,2,692,1199,911.5,165.03893480024644,5107,8691,6914.9,1262.2846311351493,70,736,326.25,238.23473193470343
"jailbreak_lose",3,14,8,26,13,106,2,54,1.0,7,6,1,20,2,636,3850,2219.95,1579.7515777805068,12516,46321,29175.5,16569.954274227795,69,2215,1000.75,931.3971695791222
"space_all",2,11,9,23,10,29,10,58,5.0,9,3,1,20,2,857,4449,2649.2,1782.3455501108642,12764,35760,24291.9,11379.7022540135,156,2126,1000.95,815.337382621452
"fantasy_two",4,11,9,61,8,76,12,130,2.0,9,3,2,20,2,3923,7469,5699.9,1769.1016618611832,68799,116141,92565.55,23550.322374598185,2392,31555,15459.45,13384.276097253074
"gramma_any",4,15,6,61,7,812,9,896,1.0,6,5,2,20,2,2166,26276,14194.05,12027.081173231514,32029,128918,80001.25,47965.84189178274,637,23648,11687.2,10459.274145943398
"gramma_win",4,15,6,61,7,812,9,896,2.0,6,5,2,20,2,11221,259739,131992.25,120636.3631430735,178031,2072027,1097665.55,917514.3711874749,-184067,389573,181793.8,197756.45950855815
"deerhunter_any",3,8,7,32,8,28,7,69,1.0,10,6,1,20,2,10100,749456,379778.0,369674.0000216407,81729,2141214,1111494.25,1029705.750907116,-191483,497460,234288.0,255994.09933883243
"jailbreak_escape",3,14,8,26,13,106,2,54,3.0,7,6,1,20,2,14183,940004,466243.1,452094.95817725064,164694,13421090,6577133.75,6414246.432725576,6703,123638,61668.15,54241.23709713395
"basketball_any",4,11,8,72,8,168,4,228,1.0,7,5,2,10,1,868,1000000,500674.5,499325.65564444015,23999,15380247,7293963.9,7306129.060053148,306,3091044,1414578.75,1434960.917025578
"fantasy_all",4,11,9,61,8,76,12,130,3.0,9,3,2,10,1,5118,1000000,502560.35,497439.65000040707,88985,15014999,7551929.45,7462786.050427282,7407,1141407,481376.1,475795.15985925077
"lovers",3,10,7,40,6,312,9,375,1.0,5,5,2,10,1,4661,1000000,503262.4,496741.24503441417,90217,13758045,6803163.35,6670562.926579872,1893,1823879,884350.95,882207.5716329165
"hospital_any",4,13,6,48,4,102,4,184,1.0,11,5,3,10,1,31106,1000000,515649.95,484350.070632954,755032,12114965,6430993.75,5673801.575890118,10789,1858533,914044.9,903571.7454737006
"deerhunter_both",3,8,7,32,8,28,7,69,2.0,10,6,1,0,0,1000000,1000000,1000000.0,0.0,2900916,8051712,5476439.5,2575272.006140371,371923,1379049,907451.75,421714.3740980233
"jailbreak_revenge",3,14,8,26,13,106,2,54,6.0,7,6,1,0,0,1000000,1000000,1000000.0,0.0,10580097,14615930,1.259136635E7,2010738.4232065163,130162,1448317,682040.0,553878.2621304974
"basketball_both",4,11,8,72,8,168,4,228,2.0,7,5,2,0,0,1000000,1000000,1000000.0,0.0,11600475,23416075,1.750407545E7,5811409.8000940485,1904903,3264825,2573058.5,573141.7071023099
"western",4,10,12,95,9,352,17,624,1.0,8,5,1,0,0,1000000,1000000,1000000.0,0.0,18105275,39351298,2.813425115E7,1.0019937219451234E7,5068577,7424542,6844177.65,518955.2436238866
