"Problem","Planner","Successes","Min Plan Length","Max Plan Length","Avg. Plan Length","Plan Length Std.","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"fantasy_any","BFS",10,2,2,2.0,0.0,4,4,4.0,0.0,91,91,91.0,0.0,1,2,1.8,0.4000000000000001
"fantasy_any","CW Cost with pruning",10,2,2,2.0,0.0,4,4,4.0,0.0,90,90,90.0,0.0,3,4,3.6,0.48989794855663565
"space_any","BFS",10,2,2,2.0,0.0,4,4,4.0,0.0,34,34,34.0,0.0,1,2,1.1,0.3
"space_any","CW Cost with pruning",10,2,2,2.0,0.0,4,4,4.0,0.0,33,33,33.0,0.0,1,2,1.7,0.45825756949558405
"fantasy_two","BFS",10,5,5,5.0,0.0,7469,7469,7469.0,0.0,116113,116141,116115.8,8.399999999999999,2392,3211,2670.0,276.0021739044821
"fantasy_two","CW Cost with pruning",10,5,5,5.0,0.0,3923,3935,3930.8,3.4292856398964493,68799,69098,69015.3,82.14140247159163,16986,31555,28248.9,5573.280316833167
"space_three","BFS",10,3,3,3.0,0.0,17,18,17.3,0.45825756949558405,213,214,213.3,0.45825756949558394,6,8,6.5,0.6708203932499369
"space_three","CW Cost with pruning",10,3,3,3.0,0.0,602,602,602.0,0.0,5733,5733,5733.0,0.0,164,711,528.6,221.07745249120273
"space_four","BFS",10,5,5,5.0,0.0,113,131,119.8,6.734983296193095,1527,1758,1611.9,86.75534565662221,29,43,35.4,4.200000000000001
"space_four","CW Cost with pruning",10,5,5,5.0,0.0,162,162,162.0,0.0,1741,1741,1741.0,0.0,121,170,149.8,14.715977711317723
"bribery","BFS",10,2,2,2.0,0.0,8,10,9.2,0.7483314773547883,145,177,164.2,11.973303637676613,0,3,0.8,0.8717797887081348
"bribery","CW Cost with pruning",10,2,2,2.0,0.0,8,10,9.2,0.7483314773547883,139,171,158.2,11.973303637676613,1,2,1.1,0.3
"fantasy_all","BFS",0,,,,,1000000,1000000,1000000.0,0.0,15014636,15014999,1.50147155E7,99.83511406313913,889357,1141407,954894.3,65748.33571589475
"fantasy_all","CW Cost with pruning",10,9,9,9.0,0.0,5118,5121,5120.7,0.9000000000000001,88985,89161,89143.4,52.800000000000004,7407,8832,7857.9,503.16904714022303
"space_two","BFS",10,3,3,3.0,0.0,17,18,17.3,0.45825756949558405,213,214,213.3,0.45825756949558394,2,4,2.7,0.7810249675906654
"space_two","CW Cost with pruning",10,3,3,3.0,0.0,602,602,602.0,0.0,5733,5733,5733.0,0.0,-31,499,393.2,143.82892615882244
"space_all","BFS",10,6,6,6.0,0.0,857,890,866.9,14.909393012460301,12764,13262,12913.4,228.2122696088008,156,216,197.5,17.89553016817328
"space_all","CW Cost with pruning",10,6,6,6.0,0.0,4424,4449,4431.5,10.121758740456126,35632,35760,35670.4,51.394941385315335,1557,2126,1804.4,195.36130630193895
"raiders","BFS",10,6,6,6.0,0.0,692,996,790.2,111.68330224344193,5107,8688,6242.9,1315.9070977846422,70,133,96.1,22.469757453074564
"raiders","CW Cost with pruning",10,6,6,6.0,0.0,927,1199,1032.8,112.13902086249905,6864,8691,7586.9,742.930339937736,462,736,556.4,84.0752044303194
"treasure","BFS",10,4,4,4.0,0.0,50,50,50.0,0.0,137,137,137.0,0.0,0,1,0.6,0.48989794855663565
"treasure","CW Cost with pruning",10,4,4,4.0,0.0,25,25,25.0,0.0,88,88,88.0,0.0,1,1,1.0,0.0
"gramma_any","BFS",10,3,3,3.0,0.0,2166,2168,2167.0,0.6324555320336759,32029,32046,32037.6,5.388877434122992,637,2224,1279.1,485.91057819314864
"gramma_any","CW Cost with pruning",10,5,5,5.0,0.0,26164,26276,26221.1,38.72066631658087,127080,128918,127964.9,648.4636381478919,20095,23648,22095.3,1378.2710219691917
"gramma_win","BFS",10,5,5,5.0,0.0,11221,11541,11391.2,130.02830461095766,178031,182819,180469.2,1923.376863747716,-184067,7924,-11655.6,57471.02478327666
"gramma_win","CW Cost with pruning",10,5,5,5.0,0.0,244545,259739,252593.3,4125.6266445232295,1947132,2072027,2014861.9,34106.5152997195,358274,389573,375243.2,8183.834331167756
"secretagent","BFS",10,8,8,8.0,0.0,659,665,662.6,2.939387691339814,711,745,731.4,16.65653025092561,4,8,6.0,1.3416407864998738
"secretagent","CW Cost with pruning",10,8,8,8.0,0.0,142,146,144.4,1.9595917942265424,238,246,242.8,3.919183588453085,7,12,10.2,1.4696938456699067
"jailbreak_lose","BFS",10,4,4,4.0,0.0,636,644,640.8,3.919183588453085,12516,12678,12613.2,79.36346766617497,69,106,92.2,10.380751417888785
"jailbreak_lose","CW Cost with pruning",10,4,4,4.0,0.0,3723,3850,3799.1,61.52471048286208,44865,46321,45737.8,707.7486559506842,1490,2215,1909.3,289.771306377978
"jailbreak_escape","BFS",10,6,6,6.0,0.0,905715,940004,918236.7,13537.624666461985,12743052,13421090,1.29886098E7,266576.68772448954,111685,123638,115830.2,4056.4248495442384
"jailbreak_escape","CW Cost with pruning",10,6,6,6.0,0.0,14183,14425,14249.5,79.08887405950347,164694,168084,165657.7,1090.6787840606416,6703,9370,7506.1,844.8080787965987
"basketball_any","BFS",10,4,4,4.0,0.0,868,2203,1349.0,557.5562751866398,23999,66018,39574.0,17385.002950819424,306,1170,561.0,224.32833080108273
"basketball_any","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,12126064,15380247,1.45483538E7,1227353.1698474404,2013477,3091044,2828596.5,345446.4094884328
"basketball_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,23179633,23416075,2.33146839E7,83501.67281012998,2961092,3264825,3138718.6,102946.21152543691
"basketball_both","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,11600475,11859863,1.1693467E7,107954.07112934648,1904903,2095027,2007398.4,80263.39706765469
"western","BFS",0,,,,,1000000,1000000,1000000.0,0.0,37996112,39351298,3.81501789E7,400721.513541125,5068577,6843813,6538740.9,554863.9938562332
"western","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,18105275,18133479,1.81183234E7,9415.181009412405,6890707,7424542,7149614.4,210170.93421841183
"jailbreak_revenge","BFS",0,,,,,1000000,1000000,1000000.0,0.0,14598080,14615930,1.46020988E7,6924.777711955814,130162,136254,132656.0,2050.0733645408886
"jailbreak_revenge","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,10580097,10581034,1.05806339E7,299.3420952689414,1064612,1448317,1231424.0,99561.52273142472
"lovers","BFS",10,5,5,5.0,0.0,4661,13542,6524.8,2691.194745833159,90217,324279,138232.1,70057.68030908532,1893,6752,2779.6,1456.2545931258037
"lovers","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,12580029,13758045,1.34680946E7,381174.8967340845,1669751,1823879,1765922.3,47351.746892907766
"deerhunter_any","BFS",10,6,6,6.0,0.0,10100,10108,10104.0,4.0,81729,81848,81788.5,59.5,-191483,1024,-18349.6,57711.365012794486
"deerhunter_any","CW Cost with pruning",10,6,7,6.5,0.5,749448,749456,749452.0,4.0,2141186,2141214,2141200.0,14.0,470204,497460,486925.6,9156.54265757551
"hospital_any","BFS",10,4,4,4.0,0.0,31106,31639,31299.9,199.9357146684904,755032,761128,757195.7,2013.2547305296466,10789,12152,11563.7,410.95572754251765
"hospital_any","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,12089553,12114965,1.21047918E7,8715.938512862514,1690806,1858533,1816526.1,62761.428005503505
"deerhunter_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,8051711,8051712,8051711.5,0.5,1232607,1379049,1325374.9,62109.39764391537
"deerhunter_both","CW Cost with pruning",0,,,,,1000000,1000000,1000000.0,0.0,2900916,2901419,2901167.5,251.5,371923,519266,489528.6,50089.227926171916
