"Name","Characters","Entities","Fluent Templates","Ground Fluents","Action Templates","Ground Actions","Trigger Templates","Ground Triggers","Goal","Author Temporal Limit","Character Temporal Limit","Epistemic Limit","Times Solved","Unique Planners Solved","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"space_any",2,11,9,23,10,29,10,58,1.0,9,3,1,200,20,2,26,6.56,6.518926291959438,12,337,58.5,77.40717021051732,0,192544,965.605,13580.63287807216
"space_two",2,11,9,23,10,29,10,58,2.0,9,3,1,200,20,6,30,14.545,8.829947621588705,50,351,143.27,107.3962620392349,2,35,7.265,6.171286332686244
"space_three",2,11,9,23,10,29,10,58,3.0,9,3,1,200,20,6,112,29.305,25.70626334183949,54,1765,288.685,336.5912443528498,2,65,14.12,14.186810776210411
"treasure",2,6,2,4,4,5,0,0,1.0,4,4,3,200,20,19,61,33.95,13.59954043341173,74,137,89.75,19.8617093926983,0,2,1.105,0.6434088902090166
"fantasy_any",4,11,9,61,8,76,12,130,1.0,9,3,2,200,20,2,285,46.01,80.29962577745916,43,2234,474.13,675.7476696963163,-392,192551,990.75,13579.45000754817
"secretagent",2,12,4,12,4,44,6,68,1.0,8,8,1,200,20,30,1136,216.78,249.93277416137346,107,828,363.57,247.89512923815184,5,44,15.635,8.361326150796895
"space_four",2,11,9,23,10,29,10,58,4.0,9,3,1,200,20,42,4397,456.42,890.8897370606533,300,39687,3767.84,7700.081208299038,12,1244,152.625,262.95707705821496
"raiders",3,9,5,21,5,39,4,66,1.0,7,4,1,200,20,25,4571,550.255,977.6687680267792,271,9961,2531.58,2425.6574745004705,-192975,192964,2080.435,27209.536093725932
"bribery",3,5,4,16,5,27,0,0,1.0,5,5,2,200,20,2,5744,708.36,1701.975522855715,32,15050,2588.795,4662.896918544849,0,185,29.945,50.87918999944866
"space_all",2,11,9,23,10,29,10,58,5.0,9,3,1,200,20,167,4397,931.85,777.8848484833727,1114,39687,7926.93,6812.479071167853,-320,1216,396.57,297.60404079918
"fantasy_two",4,11,9,61,8,76,12,130,2.0,9,3,2,200,20,262,14439,2342.51,3249.21701643642,5033,116141,27167.365,28057.894585335056,-191538,199316,3824.045,27481.271542688402
"gramma_any",4,15,6,61,7,812,9,896,1.0,6,5,2,200,20,643,23967,3880.615,5057.193335910246,2982,50064,26435.045,14693.534809669698,-191933,208018,10294.405,36247.18593726932
"deerhunter_any",3,8,7,32,8,28,7,69,1.0,10,6,1,200,20,45,89805,9435.95,20466.743567492595,485,182806,37479.805,52110.56006067269,-195514,196466,4990.715,35690.47988517071
"jailbreak_lose",3,14,8,26,13,106,2,54,1.0,7,6,1,200,20,311,465371,33183.495,101919.20730269623,3963,550734,63020.585,122581.27437358763,-193115,202490,3336.71,25029.102432486474
"basketball_any",4,11,8,72,8,168,4,228,1.0,7,5,2,196,20,724,1000000,76641.42,177364.33771918077,8454,4623766,392687.81,717437.4955826213,-190419,537634,51011.145,99613.50988271608
"gramma_win",4,15,6,61,7,812,9,896,2.0,6,5,2,190,19,1186,1000000,123415.03,242195.8399650149,18686,3778835,504948.28,829803.4492589263,-186599,914397,132967.995,202116.37832522378
"hospital_any",4,13,6,48,4,102,4,184,1.0,11,5,3,176,18,23,1000000,200829.045,356956.4040725884,545,5187557,1068586.41,1524646.6619015054,-195483,820416,124833.17,207451.20289359882
"jailbreak_escape",3,14,8,26,13,106,2,54,3.0,7,6,1,150,15,12250,1000000,378933.62,409359.74706454185,159872,13421090,2341773.66,3266380.0151272225,-118018,496957,140455.95,131474.6455461566
"deerhunter_both",3,8,7,32,8,28,7,69,2.0,10,6,1,140,14,3561,1000000,465187.02,403760.15535653086,47840,10721164,3189046.66,3260266.3141002455,-189776,3156130,725477.03,821726.7001263616
"lovers",3,10,7,40,6,312,9,375,1.0,5,5,2,123,13,4091,1000000,488079.955,464041.13248414,83657,32645843,5460862.555,8565389.137221774,-182700,7398915,1101847.55,1895228.430510475
"fantasy_all",4,11,9,61,8,76,12,130,3.0,9,3,2,110,11,4522,1000000,494035.425,479632.294783988,97988,15504283,6832008.89,6711832.90194438,-144491,2597202,823528.985,831924.9377688798
"jailbreak_revenge",3,14,8,26,13,106,2,54,6.0,7,6,1,110,11,19941,1000000,600064.04,405851.8530168838,254803,13872312,3859856.6,3746922.8778267098,-128758,1653931,335154.79,321214.88240239717
"basketball_both",4,11,8,72,8,168,4,228,2.0,7,5,2,58,6,24429,1000000,818338.9,337228.8705195636,631255,22171694,8594118.575,6881819.380627942,97354,8541621,1855183.485,1931480.1092598676
"western",4,10,12,95,9,352,17,624,1.0,8,5,1,31,4,58916,1000000,867479.31,313571.17212636647,625595,42153372,1.6906858555E7,1.3469101137930555E7,349502,31626714,7462093.35,7764242.335365169
