"Problem","Planner","Run","Success?","Plan Length","Nodes Visited","Nodes Generated","Time (ms)"
"fantasy_any","BFS",1,true,2,4,91,2
"fantasy_any","BFS",2,true,2,4,91,1
"fantasy_any","BFS",3,true,2,4,91,3
"fantasy_any","BFS",4,true,2,4,91,1
"fantasy_any","BFS",5,true,2,4,91,1
"fantasy_any","BFS",6,true,2,4,91,1
"fantasy_any","BFS",7,true,2,4,91,2
"fantasy_any","BFS",8,true,2,4,91,1
"fantasy_any","BFS",9,true,2,4,91,1
"fantasy_any","BFS",10,true,2,4,91,5
"fantasy_any","BFS prune",1,true,2,4,90,4
"fantasy_any","BFS prune",2,true,2,4,90,3
"fantasy_any","BFS prune",3,true,2,4,90,3
"fantasy_any","BFS prune",4,true,2,4,90,4
"fantasy_any","BFS prune",5,true,2,4,90,4
"fantasy_any","BFS prune",6,true,2,4,90,4
"fantasy_any","BFS prune",7,true,2,4,90,4
"fantasy_any","BFS prune",8,true,2,4,90,3
"fantasy_any","BFS prune",9,true,2,4,90,4
"fantasy_any","BFS prune",10,true,2,4,90,3
"fantasy_any","A* h+",1,true,3,20,381,24
"fantasy_any","A* h+",2,true,3,20,381,23
"fantasy_any","A* h+",3,true,3,20,381,25
"fantasy_any","A* h+",4,true,3,20,381,21
"fantasy_any","A* h+",5,true,3,20,381,25
"fantasy_any","A* h+",6,true,3,20,381,18
"fantasy_any","A* h+",7,true,3,20,381,21
"fantasy_any","A* h+",8,true,3,20,381,26
"fantasy_any","A* h+",9,true,3,20,381,23
"fantasy_any","A* h+",10,true,3,20,381,24
"fantasy_any","A* h_max",1,true,2,2,55,2
"fantasy_any","A* h_max",2,true,2,2,55,4
"fantasy_any","A* h_max",3,true,2,2,55,4
"fantasy_any","A* h_max",4,true,2,2,55,4
"fantasy_any","A* h_max",5,true,2,2,55,4
"fantasy_any","A* h_max",6,true,2,2,55,2
"fantasy_any","A* h_max",7,true,2,2,55,3
"fantasy_any","A* h_max",8,true,2,2,55,3
"fantasy_any","A* h_max",9,true,2,2,55,3
"fantasy_any","A* h_max",10,true,2,2,55,3
"fantasy_any","A* rp",1,true,2,4,91,6
"fantasy_any","A* rp",2,true,2,4,91,5
"fantasy_any","A* rp",3,true,2,4,91,8
"fantasy_any","A* rp",4,true,2,4,91,7
"fantasy_any","A* rp",5,true,2,4,91,20
"fantasy_any","A* rp",6,true,2,4,91,6
"fantasy_any","A* rp",7,true,2,4,91,10
"fantasy_any","A* rp",8,true,2,4,91,5
"fantasy_any","A* rp",9,true,2,4,91,9
"fantasy_any","A* rp",10,true,2,4,91,5
"fantasy_any","A* h+ + pruning ",1,true,3,20,430,32
"fantasy_any","A* h+ + pruning ",2,true,3,20,430,34
"fantasy_any","A* h+ + pruning ",3,true,3,20,430,27
"fantasy_any","A* h+ + pruning ",4,true,3,20,430,30
"fantasy_any","A* h+ + pruning ",5,true,3,20,430,26
"fantasy_any","A* h+ + pruning ",6,true,3,20,430,35
"fantasy_any","A* h+ + pruning ",7,true,3,20,430,28
"fantasy_any","A* h+ + pruning ",8,true,3,20,430,25
"fantasy_any","A* h+ + pruning ",9,true,3,20,430,25
"fantasy_any","A* h+ + pruning ",10,true,3,20,430,29
"fantasy_any","A* h_max + pruning ",1,true,2,2,54,3
"fantasy_any","A* h_max + pruning ",2,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",3,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",4,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",5,true,2,2,54,3
"fantasy_any","A* h_max + pruning ",6,true,2,2,54,5
"fantasy_any","A* h_max + pruning ",7,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",8,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",9,true,2,2,54,4
"fantasy_any","A* h_max + pruning ",10,true,2,2,54,5
"fantasy_any","A* rp + pruning ",1,true,2,4,90,7
"fantasy_any","A* rp + pruning ",2,true,2,4,90,7
"fantasy_any","A* rp + pruning ",3,true,2,4,90,8
"fantasy_any","A* rp + pruning ",4,true,2,4,90,6
"fantasy_any","A* rp + pruning ",5,true,2,4,90,8
"fantasy_any","A* rp + pruning ",6,true,2,4,90,7
"fantasy_any","A* rp + pruning ",7,true,2,4,90,8
"fantasy_any","A* rp + pruning ",8,true,2,4,90,8
"fantasy_any","A* rp + pruning ",9,true,2,4,90,8
"fantasy_any","A* rp + pruning ",10,true,2,4,90,7
"fantasy_any","EFS h+",1,true,3,284,1967,93
"fantasy_any","EFS h+",2,true,3,284,1967,119
"fantasy_any","EFS h+",3,true,3,284,1967,99
"fantasy_any","EFS h+",4,true,3,284,1967,109
"fantasy_any","EFS h+",5,true,3,285,1965,100
"fantasy_any","EFS h+",6,true,3,284,1967,118
"fantasy_any","EFS h+",7,true,3,284,1967,83
"fantasy_any","EFS h+",8,true,3,284,1967,77
"fantasy_any","EFS h+",9,true,3,284,1967,-392
"fantasy_any","EFS h+",10,true,3,284,1967,99
"fantasy_any","EFS h_max",1,true,2,20,291,16
"fantasy_any","EFS h_max",2,true,2,20,291,14
"fantasy_any","EFS h_max",3,true,2,20,291,13
"fantasy_any","EFS h_max",4,true,2,20,291,13
"fantasy_any","EFS h_max",5,true,2,20,291,192551
"fantasy_any","EFS h_max",6,true,2,20,291,12
"fantasy_any","EFS h_max",7,true,2,20,291,19
"fantasy_any","EFS h_max",8,true,2,20,291,13
"fantasy_any","EFS h_max",9,true,2,20,291,16
"fantasy_any","EFS h_max",10,true,2,20,291,17
"fantasy_any","EFS rp",1,true,2,180,1361,73
"fantasy_any","EFS rp",2,true,2,180,1361,92
"fantasy_any","EFS rp",3,true,2,180,1361,81
"fantasy_any","EFS rp",4,true,2,180,1361,76
"fantasy_any","EFS rp",5,true,2,180,1361,71
"fantasy_any","EFS rp",6,true,2,180,1361,78
"fantasy_any","EFS rp",7,true,2,180,1361,91
"fantasy_any","EFS rp",8,true,2,180,1361,76
"fantasy_any","EFS rp",9,true,2,180,1361,97
"fantasy_any","EFS rp",10,true,2,180,1361,76
"fantasy_any","EFS h+ + pruning ",1,true,3,200,2234,158
"fantasy_any","EFS h+ + pruning ",2,true,3,200,2234,150
"fantasy_any","EFS h+ + pruning ",3,true,3,200,2234,174
"fantasy_any","EFS h+ + pruning ",4,true,3,200,2234,162
"fantasy_any","EFS h+ + pruning ",5,true,3,201,2232,162
"fantasy_any","EFS h+ + pruning ",6,true,3,200,2234,143
"fantasy_any","EFS h+ + pruning ",7,true,3,200,2234,132
"fantasy_any","EFS h+ + pruning ",8,true,3,200,2234,146
"fantasy_any","EFS h+ + pruning ",9,true,3,200,2234,195
"fantasy_any","EFS h+ + pruning ",10,true,3,200,2234,211
"fantasy_any","EFS h_max + pruning ",1,true,2,18,351,34
"fantasy_any","EFS h_max + pruning ",2,true,2,18,351,25
"fantasy_any","EFS h_max + pruning ",3,true,2,18,351,43
"fantasy_any","EFS h_max + pruning ",4,true,2,18,351,18
"fantasy_any","EFS h_max + pruning ",5,true,2,18,351,24
"fantasy_any","EFS h_max + pruning ",6,true,2,18,351,26
"fantasy_any","EFS h_max + pruning ",7,true,2,18,351,19
"fantasy_any","EFS h_max + pruning ",8,true,2,18,351,19
"fantasy_any","EFS h_max + pruning ",9,true,2,18,351,23
"fantasy_any","EFS h_max + pruning ",10,true,2,18,351,23
"fantasy_any","EFS rp + pruning ",1,true,2,128,1515,97
"fantasy_any","EFS rp + pruning ",2,true,2,128,1515,128
"fantasy_any","EFS rp + pruning ",3,true,2,128,1515,115
"fantasy_any","EFS rp + pruning ",4,true,2,128,1515,99
"fantasy_any","EFS rp + pruning ",5,true,2,128,1515,102
"fantasy_any","EFS rp + pruning ",6,true,2,128,1515,110
"fantasy_any","EFS rp + pruning ",7,true,2,128,1515,105
"fantasy_any","EFS rp + pruning ",8,true,2,128,1515,100
"fantasy_any","EFS rp + pruning ",9,true,2,128,1515,104
"fantasy_any","EFS rp + pruning ",10,true,2,128,1515,87
"fantasy_any","GFS h+",1,true,3,7,115,8
"fantasy_any","GFS h+",2,true,3,7,115,8
"fantasy_any","GFS h+",3,true,3,7,115,13
"fantasy_any","GFS h+",4,true,3,7,115,8
"fantasy_any","GFS h+",5,true,3,7,115,8
"fantasy_any","GFS h+",6,true,3,7,115,7
"fantasy_any","GFS h+",7,true,3,7,115,8
"fantasy_any","GFS h+",8,true,3,7,115,6
"fantasy_any","GFS h+",9,true,3,7,115,6
"fantasy_any","GFS h+",10,true,3,7,115,6
"fantasy_any","GFS h_max",1,true,2,3,43,3
"fantasy_any","GFS h_max",2,true,2,3,43,3
"fantasy_any","GFS h_max",3,true,2,3,43,2
"fantasy_any","GFS h_max",4,true,2,3,43,3
"fantasy_any","GFS h_max",5,true,2,3,43,3
"fantasy_any","GFS h_max",6,true,2,3,43,3
"fantasy_any","GFS h_max",7,true,2,3,43,3
"fantasy_any","GFS h_max",8,true,2,3,43,3
"fantasy_any","GFS h_max",9,true,2,3,43,3
"fantasy_any","GFS h_max",10,true,2,3,43,3
"fantasy_any","GFS rp",1,true,2,5,71,7
"fantasy_any","GFS rp",2,true,2,5,71,4
"fantasy_any","GFS rp",3,true,2,5,71,9
"fantasy_any","GFS rp",4,true,2,5,71,7
"fantasy_any","GFS rp",5,true,2,5,71,5
"fantasy_any","GFS rp",6,true,2,5,71,5
"fantasy_any","GFS rp",7,true,2,5,71,5
"fantasy_any","GFS rp",8,true,2,5,71,9
"fantasy_any","GFS rp",9,true,2,5,71,6
"fantasy_any","GFS rp",10,true,2,5,71,4
"fantasy_any","GFS h+ + pruning ",1,true,3,7,139,11
"fantasy_any","GFS h+ + pruning ",2,true,3,7,139,10
"fantasy_any","GFS h+ + pruning ",3,true,3,7,139,11
"fantasy_any","GFS h+ + pruning ",4,true,3,7,139,11
"fantasy_any","GFS h+ + pruning ",5,true,3,7,139,10
"fantasy_any","GFS h+ + pruning ",6,true,3,7,139,12
"fantasy_any","GFS h+ + pruning ",7,true,3,7,139,12
"fantasy_any","GFS h+ + pruning ",8,true,3,7,139,11
"fantasy_any","GFS h+ + pruning ",9,true,3,7,139,9
"fantasy_any","GFS h+ + pruning ",10,true,3,7,139,11
"fantasy_any","GFS h_max + pruning ",1,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",2,true,2,3,43,6
"fantasy_any","GFS h_max + pruning ",3,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",4,true,2,3,43,14
"fantasy_any","GFS h_max + pruning ",5,true,2,3,43,6
"fantasy_any","GFS h_max + pruning ",6,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",7,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",8,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",9,true,2,3,43,5
"fantasy_any","GFS h_max + pruning ",10,true,2,3,43,4
"fantasy_any","GFS rp + pruning ",1,true,2,5,71,8
"fantasy_any","GFS rp + pruning ",2,true,2,5,71,8
"fantasy_any","GFS rp + pruning ",3,true,2,5,71,9
"fantasy_any","GFS rp + pruning ",4,true,2,5,71,7
"fantasy_any","GFS rp + pruning ",5,true,2,5,71,8
"fantasy_any","GFS rp + pruning ",6,true,2,5,71,7
"fantasy_any","GFS rp + pruning ",7,true,2,5,71,8
"fantasy_any","GFS rp + pruning ",8,true,2,5,71,7
"fantasy_any","GFS rp + pruning ",9,true,2,5,71,8
"fantasy_any","GFS rp + pruning ",10,true,2,5,71,8
"space_any","BFS",1,true,2,4,34,1
"space_any","BFS",2,true,2,4,34,1
"space_any","BFS",3,true,2,4,34,1
"space_any","BFS",4,true,2,4,34,1
"space_any","BFS",5,true,2,4,34,1
"space_any","BFS",6,true,2,4,34,1
"space_any","BFS",7,true,2,4,34,2
"space_any","BFS",8,true,2,4,34,1
"space_any","BFS",9,true,2,4,34,0
"space_any","BFS",10,true,2,4,34,1
"space_any","BFS prune",1,true,2,4,33,1
"space_any","BFS prune",2,true,2,4,33,1
"space_any","BFS prune",3,true,2,4,33,1
"space_any","BFS prune",4,true,2,4,33,2
"space_any","BFS prune",5,true,2,4,33,1
"space_any","BFS prune",6,true,2,4,33,1
"space_any","BFS prune",7,true,2,4,33,2
"space_any","BFS prune",8,true,2,4,33,1
"space_any","BFS prune",9,true,2,4,33,1
"space_any","BFS prune",10,true,2,4,33,2
"space_any","A* h+",1,true,2,2,16,1
"space_any","A* h+",2,true,2,2,16,1
"space_any","A* h+",3,true,2,2,16,1
"space_any","A* h+",4,true,2,2,16,1
"space_any","A* h+",5,true,2,2,16,1
"space_any","A* h+",6,true,2,2,16,1
"space_any","A* h+",7,true,2,2,16,2
"space_any","A* h+",8,true,2,2,16,1
"space_any","A* h+",9,true,2,2,16,2
"space_any","A* h+",10,true,2,2,16,1
"space_any","A* h_max",1,true,2,2,16,2
"space_any","A* h_max",2,true,2,2,16,1
"space_any","A* h_max",3,true,2,2,16,1
"space_any","A* h_max",4,true,2,2,16,1
"space_any","A* h_max",5,true,2,2,16,1
"space_any","A* h_max",6,true,2,2,16,1
"space_any","A* h_max",7,true,2,2,16,1
"space_any","A* h_max",8,true,2,2,16,1
"space_any","A* h_max",9,true,2,2,16,1
"space_any","A* h_max",10,true,2,2,16,1
"space_any","A* rp",1,true,2,26,329,10
"space_any","A* rp",2,true,3,13,82,4
"space_any","A* rp",3,true,2,26,329,9
"space_any","A* rp",4,true,2,26,329,10
"space_any","A* rp",5,true,2,24,299,9
"space_any","A* rp",6,true,3,13,82,5
"space_any","A* rp",7,true,3,13,82,4
"space_any","A* rp",8,true,2,24,299,8
"space_any","A* rp",9,true,2,24,299,11
"space_any","A* rp",10,true,2,26,329,11
"space_any","A* h+ + pruning ",1,true,2,2,16,0
"space_any","A* h+ + pruning ",2,true,2,2,16,1
"space_any","A* h+ + pruning ",3,true,2,2,16,1
"space_any","A* h+ + pruning ",4,true,2,2,16,1
"space_any","A* h+ + pruning ",5,true,2,2,16,1
"space_any","A* h+ + pruning ",6,true,2,2,16,1
"space_any","A* h+ + pruning ",7,true,2,2,16,1
"space_any","A* h+ + pruning ",8,true,2,2,16,2
"space_any","A* h+ + pruning ",9,true,2,2,16,1
"space_any","A* h+ + pruning ",10,true,2,2,16,1
"space_any","A* h_max + pruning ",1,true,2,2,16,1
"space_any","A* h_max + pruning ",2,true,2,2,16,1
"space_any","A* h_max + pruning ",3,true,2,2,16,1
"space_any","A* h_max + pruning ",4,true,2,2,16,1
"space_any","A* h_max + pruning ",5,true,2,2,16,1
"space_any","A* h_max + pruning ",6,true,2,2,16,1
"space_any","A* h_max + pruning ",7,true,2,2,16,1
"space_any","A* h_max + pruning ",8,true,2,2,16,1
"space_any","A* h_max + pruning ",9,true,2,2,16,1
"space_any","A* h_max + pruning ",10,true,2,2,16,1
"space_any","A* rp + pruning ",1,true,2,22,337,12
"space_any","A* rp + pruning ",2,true,3,11,81,6
"space_any","A* rp + pruning ",3,true,2,22,337,15
"space_any","A* rp + pruning ",4,true,2,22,337,14
"space_any","A* rp + pruning ",5,true,2,20,307,13
"space_any","A* rp + pruning ",6,true,3,11,81,5
"space_any","A* rp + pruning ",7,true,3,11,81,6
"space_any","A* rp + pruning ",8,true,2,20,307,20
"space_any","A* rp + pruning ",9,true,2,20,307,34
"space_any","A* rp + pruning ",10,true,2,22,337,15
"space_any","EFS h+",1,true,2,7,47,3
"space_any","EFS h+",2,true,2,7,47,2
"space_any","EFS h+",3,true,2,7,47,2
"space_any","EFS h+",4,true,2,7,47,3
"space_any","EFS h+",5,true,2,7,47,2
"space_any","EFS h+",6,true,2,7,47,2
"space_any","EFS h+",7,true,2,7,47,2
"space_any","EFS h+",8,true,2,7,47,3
"space_any","EFS h+",9,true,2,7,47,2
"space_any","EFS h+",10,true,2,7,47,2
"space_any","EFS h_max",1,true,2,5,42,2
"space_any","EFS h_max",2,true,2,5,42,2
"space_any","EFS h_max",3,true,2,5,42,2
"space_any","EFS h_max",4,true,2,5,42,1
"space_any","EFS h_max",5,true,2,5,42,1
"space_any","EFS h_max",6,true,2,5,42,2
"space_any","EFS h_max",7,true,2,5,42,2
"space_any","EFS h_max",8,true,2,5,42,1
"space_any","EFS h_max",9,true,2,5,42,1
"space_any","EFS h_max",10,true,2,5,42,2
"space_any","EFS rp",1,true,2,7,47,2
"space_any","EFS rp",2,true,3,13,84,4
"space_any","EFS rp",3,true,2,7,47,2
"space_any","EFS rp",4,true,2,7,47,2
"space_any","EFS rp",5,true,2,7,47,2
"space_any","EFS rp",6,true,3,13,84,4
"space_any","EFS rp",7,true,3,13,84,4
"space_any","EFS rp",8,true,2,7,47,2
"space_any","EFS rp",9,true,2,7,47,2
"space_any","EFS rp",10,true,2,7,47,2
"space_any","EFS h+ + pruning ",1,true,2,5,47,2
"space_any","EFS h+ + pruning ",2,true,2,5,47,2
"space_any","EFS h+ + pruning ",3,true,2,5,47,4
"space_any","EFS h+ + pruning ",4,true,2,5,47,2
"space_any","EFS h+ + pruning ",5,true,2,5,47,2
"space_any","EFS h+ + pruning ",6,true,2,5,47,2
"space_any","EFS h+ + pruning ",7,true,2,5,47,2
"space_any","EFS h+ + pruning ",8,true,2,5,47,2
"space_any","EFS h+ + pruning ",9,true,2,5,47,2
"space_any","EFS h+ + pruning ",10,true,2,5,47,2
"space_any","EFS h_max + pruning ",1,true,2,5,45,2
"space_any","EFS h_max + pruning ",2,true,2,5,45,2
"space_any","EFS h_max + pruning ",3,true,2,5,45,3
"space_any","EFS h_max + pruning ",4,true,2,5,45,2
"space_any","EFS h_max + pruning ",5,true,2,5,45,2
"space_any","EFS h_max + pruning ",6,true,2,5,45,2
"space_any","EFS h_max + pruning ",7,true,2,5,45,2
"space_any","EFS h_max + pruning ",8,true,2,5,45,2
"space_any","EFS h_max + pruning ",9,true,2,5,45,3
"space_any","EFS h_max + pruning ",10,true,2,5,45,1
"space_any","EFS rp + pruning ",1,true,2,5,47,2
"space_any","EFS rp + pruning ",2,true,3,8,79,4
"space_any","EFS rp + pruning ",3,true,2,5,47,2
"space_any","EFS rp + pruning ",4,true,2,5,47,3
"space_any","EFS rp + pruning ",5,true,2,5,47,3
"space_any","EFS rp + pruning ",6,true,3,8,79,5
"space_any","EFS rp + pruning ",7,true,3,8,79,5
"space_any","EFS rp + pruning ",8,true,2,5,47,2
"space_any","EFS rp + pruning ",9,true,2,5,47,2
"space_any","EFS rp + pruning ",10,true,2,5,47,192544
"space_any","GFS h+",1,true,2,2,12,0
"space_any","GFS h+",2,true,2,2,12,1
"space_any","GFS h+",3,true,2,2,12,0
"space_any","GFS h+",4,true,2,2,12,1
"space_any","GFS h+",5,true,2,2,12,1
"space_any","GFS h+",6,true,2,2,12,1
"space_any","GFS h+",7,true,2,2,12,2
"space_any","GFS h+",8,true,2,2,12,1
"space_any","GFS h+",9,true,2,2,12,5
"space_any","GFS h+",10,true,2,2,12,1
"space_any","GFS h_max",1,true,2,2,12,1
"space_any","GFS h_max",2,true,2,2,12,1
"space_any","GFS h_max",3,true,2,2,12,1
"space_any","GFS h_max",4,true,2,2,12,1
"space_any","GFS h_max",5,true,2,2,12,1
"space_any","GFS h_max",6,true,2,2,12,1
"space_any","GFS h_max",7,true,2,2,12,1
"space_any","GFS h_max",8,true,2,2,12,1
"space_any","GFS h_max",9,true,2,2,12,1
"space_any","GFS h_max",10,true,2,2,12,1
"space_any","GFS rp",1,true,2,21,113,4
"space_any","GFS rp",2,true,3,6,54,3
"space_any","GFS rp",3,true,2,21,113,4
"space_any","GFS rp",4,true,2,21,113,5
"space_any","GFS rp",5,true,2,21,113,4
"space_any","GFS rp",6,true,3,6,54,4
