"Problem","Planner","Successes","Min Plan Length","Max Plan Length","Avg. Plan Length","Plan Length Std.","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"fantasy_any","BFS",10,2,2,2.0,0.0,4,4,4.0,0.0,91,91,91.0,0.0,1,5,1.8,1.2489995996796797
"fantasy_any","BFS prune",10,2,2,2.0,0.0,4,4,4.0,0.0,90,90,90.0,0.0,3,4,3.6,0.48989794855663565
"fantasy_any","A* h+",10,3,3,3.0,0.0,20,20,20.0,0.0,381,381,381.0,0.0,18,26,23.0,2.280350850198276
"fantasy_any","A* h_max",10,2,2,2.0,0.0,2,2,2.0,0.0,55,55,55.0,0.0,2,4,3.2,0.7483314773547882
"fantasy_any","A* rp",10,2,2,2.0,0.0,4,4,4.0,0.0,91,91,91.0,0.0,5,20,8.1,4.3
"fantasy_any","A* h+ + pruning ",10,3,3,3.0,0.0,20,20,20.0,0.0,430,430,430.0,0.0,25,35,29.1,3.419064199455752
"fantasy_any","A* h_max + pruning ",10,2,2,2.0,0.0,2,2,2.0,0.0,54,54,54.0,0.0,3,5,4.0,0.6324555320336759
"fantasy_any","A* rp + pruning ",10,2,2,2.0,0.0,4,4,4.0,0.0,90,90,90.0,0.0,6,8,7.4,0.6633249580710799
"fantasy_any","EFS h+",10,3,3,3.0,0.0,284,285,284.1,0.3,1965,1967,1966.8,0.6,-392,119,50.5,148.05286218104666
"fantasy_any","EFS h_max",10,2,2,2.0,0.0,20,20,20.0,0.0,291,291,291.0,0.0,12,192551,19268.4,57760.866704370004
"fantasy_any","EFS rp",10,2,2,2.0,0.0,180,180,180.0,0.0,1361,1361,1361.0,0.0,71,97,81.1,8.514105942493316
"fantasy_any","EFS h+ + pruning ",10,3,3,3.0,0.0,200,201,200.1,0.30000000000000004,2232,2234,2233.8,0.6,132,211,163.3,23.008911317139717
"fantasy_any","EFS h_max + pruning ",10,2,2,2.0,0.0,18,18,18.0,0.0,351,351,351.0,0.0,18,43,25.4,7.310266752998826
"fantasy_any","EFS rp + pruning ",10,2,2,2.0,0.0,128,128,128.0,0.0,1515,1515,1515.0,0.0,87,128,104.7,10.545615202537972
"fantasy_any","GFS h+",10,3,3,3.0,0.0,7,7,7.0,0.0,115,115,115.0,0.0,6,13,7.8,1.9390719429665317
